iddesa,Kode Provinsi,Kode Kabupaten,Kode Kecamatan,Kode Desa,Provinsi,Kabupaten,Kecamatan,Desa,Pelayanan_Dasar,Infrastruktur,Aksesbilitas,IKG2020
1304050001,13,4,50,1,Sumatera Barat,Sijunjung,Kamang Baru,Sungai Lansek,25.38,39.16,0.00,20.70
1304050002,13,4,50,2,Sumatera Barat,Sijunjung,Kamang Baru,Muaro Takung,20.43,28.55,0.00,16.00
1304050003,13,4,50,3,Sumatera Barat,Sijunjung,Kamang Baru,Kunangan Parit Rantang,21.36,23.14,0.00,15.23
1304050004,13,4,50,4,Sumatera Barat,Sijunjung,Kamang Baru,Kamang,19.89,30.96,34.01,26.69
1304050005,13,4,50,5,Sumatera Barat,Sijunjung,Kamang Baru,Air Amo,31.56,45.86,5.73,26.86
1304050006,13,4,50,6,Sumatera Barat,Sijunjung,Kamang Baru,Sungai Batuang,36.18,49.91,4.23,29.49
1304050007,13,4,50,7,Sumatera Barat,Sijunjung,Kamang Baru,Siaur,47.05,46.99,4.23,33.94
1304050008,13,4,50,8,Sumatera Barat,Sijunjung,Kamang Baru,Lubuk Tarantang,45.97,57.47,34.01,44.89
1304050009,13,4,50,9,Sumatera Barat,Sijunjung,Kamang Baru,Maloro,34.80,49.91,5.73,29.29
1304050010,13,4,50,10,Sumatera Barat,Sijunjung,Kamang Baru,Tanjung Kaliang,36.14,45.43,35.50,38.03
1304050011,13,4,50,11,Sumatera Barat,Sijunjung,Kamang Baru,Padang Tarok,42.67,52.57,34.01,42.24
1304060001,13,4,60,1,Sumatera Barat,Sijunjung,Tanjung Gadang,Langki,35.88,61.53,35.50,41.51
1304060002,13,4,60,2,Sumatera Barat,Sijunjung,Tanjung Gadang,Sibakur,37.53,50.54,34.01,39.37
1304060003,13,4,60,3,Sumatera Barat,Sijunjung,Tanjung Gadang,Pulasan,29.46,58.88,34.01,37.45
1304060004,13,4,60,4,Sumatera Barat,Sijunjung,Tanjung Gadang,Tanjung Lolo,35.97,50.54,4.23,29.53
1304060005,13,4,60,5,Sumatera Barat,Sijunjung,Tanjung Gadang,Tanjung Gadang,24.35,26.81,0.00,17.45
1304060006,13,4,60,6,Sumatera Barat,Sijunjung,Tanjung Gadang,Taratak Baru,25.82,55.45,35.50,35.42
1304060007,13,4,60,7,Sumatera Barat,Sijunjung,Tanjung Gadang,Timbulun,27.59,44.47,34.01,33.34
